1 	 0.30233	 0.30238	 0.30824	 0.32504	 0.35488	 0.39291	 0.43020	 0.46165	 0.48785	 0.50656	 0.51328	 0.50443	 0.48684	 0.46935	 0.45551	 0.44612	 0.44059	 0.43610	 0.42994	 0.42536	 0.42452	 0.43001	 0.44422	 0.46822	 0.49857	 0.53168	 0.56341	 0.59190	 0.62603	 0.67518	 0.73465	 0.79333	 0.83907	 0.86510	 0.87807	 0.88462	 0.88766	 0.88700	 0.88468	 0.88106	 0.87566	 0.86947	 0.86423	 0.86062	 0.85700	 0.85360	 0.85089	 0.84813	 0.84294	 0.83547	 0.82513	 0.81498	 0.80382	 0.79292	 0.78388	 0.77681	 0.77280	 0.77319	 0.77808	 0.78084	 0.77309	 0.74690	 0.70734	 0.66321	 0.61798	 0.57798	 0.54189	 0.51111	 0.48552	 0.46428	 0.44613
6 	 0.30255	 0.30255	 0.30826	 0.32504	 0.35515	 0.39322	 0.43042	 0.46187	 0.48783	 0.50665	 0.51346	 0.50449	 0.48675	 0.46928	 0.45563	 0.44621	 0.44046	 0.43609	 0.43024	 0.42549	 0.42434	 0.42990	 0.44427	 0.46837	 0.49885	 0.53187	 0.56363	 0.59230	 0.62644	 0.67570	 0.73498	 0.79351	 0.83899	 0.86477	 0.87755	 0.88393	 0.88696	 0.88637	 0.88404	 0.88024	 0.87487	 0.86880	 0.86328	 0.85950	 0.85590	 0.85246	 0.84986	 0.84724	 0.84206	 0.83452	 0.82409	 0.81389	 0.80274	 0.79189	 0.78315	 0.77586	 0.77171	 0.77225	 0.77736	 0.78012	 0.77207	 0.74609	 0.70679	 0.66228	 0.61777	 0.57775	 0.54199	 0.51125	 0.48562	 0.46456	 0.44674
11 	 0.30242	 0.30243	 0.30814	 0.32488	 0.35507	 0.39306	 0.43027	 0.46181	 0.48779	 0.50669	 0.51345	 0.50447	 0.48680	 0.46930	 0.45564	 0.44631	 0.44036	 0.43593	 0.43041	 0.42556	 0.42429	 0.42990	 0.44431	 0.46842	 0.49886	 0.53189	 0.56364	 0.59228	 0.62634	 0.67551	 0.73458	 0.79289	 0.83820	 0.86390	 0.87665	 0.88285	 0.88578	 0.88517	 0.88263	 0.87886	 0.87378	 0.86773	 0.86198	 0.85841	 0.85492	 0.85167	 0.84908	 0.84622	 0.84092	 0.83346	 0.82320	 0.81314	 0.80208	 0.79131	 0.78236	 0.77493	 0.77083	 0.77141	 0.77644	 0.77897	 0.77090	 0.74490	 0.70568	 0.66139	 0.61667	 0.57625	 0.54070	 0.51031	 0.48488	 0.46402	 0.44545
16 	 0.30219	 0.30230	 0.30801	 0.32474	 0.35494	 0.39301	 0.43010	 0.46157	 0.48750	 0.50629	 0.51308	 0.50423	 0.48662	 0.46913	 0.45535	 0.44599	 0.43996	 0.43552	 0.43011	 0.42527	 0.42401	 0.42968	 0.44426	 0.46840	 0.49872	 0.53178	 0.56356	 0.59227	 0.62640	 0.67563	 0.73479	 0.79317	 0.83839	 0.86385	 0.87646	 0.88260	 0.88540	 0.88474	 0.88223	 0.87837	 0.87321	 0.86718	 0.86146	 0.85782	 0.85440	 0.85128	 0.84868	 0.84561	 0.84021	 0.83264	 0.82242	 0.81242	 0.80145	 0.79072	 0.78172	 0.77419	 0.77016	 0.77091	 0.77598	 0.77865	 0.77080	 0.74463	 0.70565	 0.66133	 0.61640	 0.57650	 0.54101	 0.51055	 0.48501	 0.46432	 0.44584
21 	 0.30226	 0.30226	 0.30805	 0.32472	 0.35494	 0.39294	 0.43008	 0.46162	 0.48743	 0.50636	 0.51314	 0.50432	 0.48673	 0.46922	 0.45538	 0.44600	 0.43994	 0.43547	 0.43008	 0.42524	 0.42397	 0.42959	 0.44427	 0.46831	 0.49871	 0.53180	 0.56345	 0.59214	 0.62619	 0.67542	 0.73446	 0.79273	 0.83793	 0.86360	 0.87629	 0.88244	 0.88528	 0.88489	 0.88231	 0.87839	 0.87318	 0.86720	 0.86149	 0.85796	 0.85456	 0.85141	 0.84873	 0.84572	 0.84036	 0.83284	 0.82250	 0.81259	 0.80171	 0.79097	 0.78192	 0.77438	 0.77027	 0.77101	 0.77602	 0.77882	 0.77070	 0.74481	 0.70582	 0.66151	 0.61686	 0.57670	 0.54151	 0.51097	 0.48465	 0.46484	 0.44593
26 	 0.30162	 0.30162	 0.30742	 0.32421	 0.35443	 0.39252	 0.42960	 0.46127	 0.48714	 0.50611	 0.51293	 0.50408	 0.48648	 0.46892	 0.45497	 0.44559	 0.43955	 0.43509	 0.42984	 0.42497	 0.42366	 0.42926	 0.44397	 0.46809	 0.49847	 0.53166	 0.56339	 0.59210	 0.62625	 0.67557	 0.73472	 0.79319	 0.83864	 0.86431	 0.87704	 0.88318	 0.88596	 0.88563	 0.88322	 0.87924	 0.87394	 0.86783	 0.86220	 0.85865	 0.85527	 0.85211	 0.84949	 0.84644	 0.84111	 0.83350	 0.82308	 0.81299	 0.80210	 0.79148	 0.78245	 0.77492	 0.77068	 0.77147	 0.77664	 0.77922	 0.77115	 0.74493	 0.70572	 0.66101	 0.61669	 0.57601	 0.54045	 0.51039	 0.48476	 0.46389	 0.44553
31 	 0.30169	 0.30169	 0.30751	 0.32418	 0.35442	 0.39245	 0.42952	 0.46121	 0.48708	 0.50611	 0.51288	 0.50393	 0.48645	 0.46889	 0.45495	 0.44556	 0.43948	 0.43498	 0.42973	 0.42482	 0.42354	 0.42923	 0.44395	 0.46809	 0.49838	 0.53163	 0.56335	 0.59206	 0.62623	 0.67553	 0.73461	 0.79303	 0.83851	 0.86424	 0.87704	 0.88318	 0.88603	 0.88580	 0.88326	 0.87928	 0.87399	 0.86790	 0.86223	 0.85880	 0.85550	 0.85225	 0.84952	 0.84648	 0.84113	 0.83365	 0.82317	 0.81328	 0.80233	 0.79155	 0.78250	 0.77485	 0.77082	 0.77156	 0.77662	 0.77914	 0.77103	 0.74498	 0.70578	 0.66129	 0.61721	 0.57666	 0.54100	 0.51061	 0.48518	 0.46390	 0.44538
36 	 0.30185	 0.30180	 0.30756	 0.32426	 0.35446	 0.39251	 0.42958	 0.46111	 0.48692	 0.50595	 0.51273	 0.50392	 0.48641	 0.46880	 0.45483	 0.44545	 0.43939	 0.43481	 0.42971	 0.42478	 0.42350	 0.42916	 0.44388	 0.46795	 0.49832	 0.53153	 0.56316	 0.59181	 0.62598	 0.67530	 0.73433	 0.79260	 0.83796	 0.86360	 0.87626	 0.88239	 0.88518	 0.88482	 0.88228	 0.87842	 0.87318	 0.86703	 0.86133	 0.85788	 0.85462	 0.85145	 0.84879	 0.84558	 0.84024	 0.83269	 0.82224	 0.81234	 0.80143	 0.79080	 0.78179	 0.77413	 0.77013	 0.77098	 0.77612	 0.77893	 0.77087	 0.74478	 0.70568	 0.66097	 0.61685	 0.57671	 0.54121	 0.51083	 0.48528	 0.46409	 0.44579
41 	 0.30161	 0.30172	 0.30749	 0.32421	 0.35441	 0.39233	 0.42939	 0.46093	 0.48668	 0.50568	 0.51247	 0.50363	 0.48614	 0.46855	 0.45459	 0.44518	 0.43912	 0.43454	 0.42944	 0.42451	 0.42328	 0.42896	 0.44372	 0.46784	 0.49819	 0.53147	 0.56311	 0.59179	 0.62605	 0.67541	 0.73452	 0.79293	 0.83824	 0.86383	 0.87650	 0.88257	 0.88537	 0.88507	 0.88246	 0.87846	 0.87320	 0.86714	 0.86142	 0.85800	 0.85469	 0.85151	 0.84885	 0.84558	 0.84016	 0.83268	 0.82220	 0.81239	 0.80147	 0.79067	 0.78164	 0.77402	 0.77002	 0.77086	 0.77600	 0.77876	 0.77078	 0.74465	 0.70563	 0.66110	 0.61731	 0.57652	 0.54132	 0.51067	 0.48428	 0.46417	 0.44584
46 	 0.30176	 0.30190	 0.30774	 0.32444	 0.35463	 0.39272	 0.42975	 0.46122	 0.48695	 0.50607	 0.51281	 0.50399	 0.48650	 0.46891	 0.45480	 0.44538	 0.43931	 0.43471	 0.42962	 0.42473	 0.42348	 0.42920	 0.44401	 0.46819	 0.49864	 0.53202	 0.56365	 0.59241	 0.62678	 0.67639	 0.73562	 0.79408	 0.83945	 0.86496	 0.87753	 0.88359	 0.88632	 0.88597	 0.88341	 0.87931	 0.87393	 0.86775	 0.86203	 0.85863	 0.85538	 0.85217	 0.84934	 0.84623	 0.84088	 0.83327	 0.82271	 0.81276	 0.80189	 0.79116	 0.78206	 0.77440	 0.77033	 0.77123	 0.77637	 0.77911	 0.77110	 0.74506	 0.70557	 0.66123	 0.61727	 0.57666	 0.54137	 0.51098	 0.48550	 0.46396	 0.44545
