11 	 0.28337	 0.28308	 0.28814	 0.30205	 0.32604	 0.35552	 0.38127	 0.40014	 0.41495	 0.42566	 0.42913	 0.42234	 0.41037	 0.39922	 0.39037	 0.38367	 0.37984	 0.37646	 0.37276	 0.37066	 0.37084	 0.37603	 0.38845	 0.40577	 0.42586	 0.44702	 0.46742	 0.48777	 0.51585	 0.55713	 0.60341	 0.64452	 0.67408	 0.69061	 0.69749	 0.69976	 0.69972	 0.69689	 0.69090	 0.68437	 0.67686	 0.66810	 0.66132	 0.65657	 0.65250	 0.64868	 0.64433	 0.64106	 0.63662	 0.63051	 0.62189	 0.61299	 0.60481	 0.59769	 0.59177	 0.58709	 0.58488	 0.58495	 0.58741	 0.59001	 0.58933	 0.57905	 0.55844	 0.53108	 0.50302	 0.47674	 0.45400	 0.43324	 0.41600	 0.40255	 0.39126
21 	 0.23021	 0.22994	 0.23462	 0.24770	 0.27021	 0.29802	 0.32244	 0.34082	 0.35560	 0.36645	 0.37005	 0.36334	 0.35125	 0.34005	 0.33127	 0.32475	 0.32097	 0.31761	 0.31395	 0.31171	 0.31160	 0.31625	 0.32801	 0.34481	 0.36459	 0.38590	 0.40640	 0.42676	 0.45509	 0.49692	 0.54510	 0.58967	 0.62314	 0.64261	 0.65137	 0.65457	 0.65502	 0.65226	 0.64609	 0.63927	 0.63129	 0.62205	 0.61489	 0.60992	 0.60563	 0.60160	 0.59717	 0.59372	 0.58882	 0.58202	 0.57257	 0.56275	 0.55369	 0.54580	 0.53943	 0.53435	 0.53199	 0.53233	 0.53555	 0.53895	 0.53815	 0.52712	 0.50605	 0.47851	 0.45032	 0.42446	 0.40132	 0.38076	 0.36389	 0.34928	 0.33854
22 	 0.25757	 0.25744	 0.26275	 0.27718	 0.30189	 0.33219	 0.35875	 0.37850	 0.39434	 0.40608	 0.40989	 0.40294	 0.39049	 0.37895	 0.36988	 0.36318	 0.35934	 0.35596	 0.35223	 0.34994	 0.35001	 0.35525	 0.36801	 0.38609	 0.40729	 0.42997	 0.45179	 0.47328	 0.50291	 0.54657	 0.59687	 0.64353	 0.67868	 0.69922	 0.70845	 0.71178	 0.71222	 0.70945	 0.70302	 0.69588	 0.68770	 0.67815	 0.67067	 0.66538	 0.66099	 0.65688	 0.65225	 0.64862	 0.64353	 0.63644	 0.62648	 0.61629	 0.60677	 0.59847	 0.59168	 0.58622	 0.58376	 0.58401	 0.58683	 0.58945	 0.58657	 0.57260	 0.54805	 0.51690	 0.48569	 0.45679	 0.43177	 0.40948	 0.39101	 0.37688	 0.36477
31 	 0.22278	 0.22294	 0.22856	 0.24320	 0.26761	 0.29740	 0.32398	 0.34419	 0.36070	 0.37318	 0.37787	 0.37163	 0.35932	 0.34752	 0.33828	 0.33156	 0.32785	 0.32446	 0.32045	 0.31781	 0.31722	 0.32149	 0.33303	 0.34994	 0.37039	 0.39286	 0.41447	 0.43516	 0.46242	 0.50225	 0.54910	 0.59456	 0.63093	 0.65360	 0.66444	 0.66875	 0.66981	 0.66738	 0.66152	 0.65504	 0.64743	 0.63837	 0.63137	 0.62668	 0.62277	 0.61913	 0.61510	 0.61199	 0.60709	 0.60005	 0.59011	 0.57985	 0.57025	 0.56181	 0.55517	 0.54989	 0.54761	 0.54815	 0.55112	 0.55352	 0.54986	 0.53400	 0.50733	 0.47456	 0.44214	 0.41289	 0.38709	 0.36488	 0.34675	 0.33183	 0.31994
32 	 0.22004	 0.22017	 0.22574	 0.24029	 0.26442	 0.29376	 0.31999	 0.34021	 0.35668	 0.36895	 0.37330	 0.36695	 0.35494	 0.34363	 0.33468	 0.32826	 0.32461	 0.32123	 0.31733	 0.31464	 0.31408	 0.31835	 0.32982	 0.34670	 0.36715	 0.38954	 0.41105	 0.43156	 0.45864	 0.49866	 0.54601	 0.59200	 0.62878	 0.65163	 0.66251	 0.66693	 0.66807	 0.66583	 0.66017	 0.65385	 0.64632	 0.63734	 0.63032	 0.62556	 0.62154	 0.61786	 0.61376	 0.61044	 0.60547	 0.59828	 0.58816	 0.57771	 0.56785	 0.55922	 0.55222	 0.54662	 0.54414	 0.54454	 0.54748	 0.54957	 0.54509	 0.52869	 0.50198	 0.46947	 0.43667	 0.40741	 0.38179	 0.35920	 0.34089	 0.32653	 0.31532
41 	 0.26671	 0.26768	 0.27448	 0.29154	 0.32028	 0.35475	 0.38340	 0.40386	 0.42000	 0.43192	 0.43611	 0.42926	 0.41678	 0.40525	 0.39616	 0.38953	 0.38584	 0.38281	 0.37973	 0.37855	 0.38027	 0.38745	 0.40235	 0.42250	 0.44500	 0.46826	 0.49063	 0.51367	 0.54665	 0.59514	 0.64928	 0.69710	 0.73118	 0.75008	 0.75810	 0.76081	 0.76071	 0.75728	 0.74999	 0.74183	 0.73269	 0.72224	 0.71401	 0.70782	 0.70238	 0.69731	 0.69190	 0.68744	 0.68177	 0.67432	 0.66423	 0.65408	 0.64446	 0.63617	 0.62914	 0.62328	 0.62023	 0.61953	 0.62084	 0.62107	 0.61499	 0.59680	 0.56738	 0.53216	 0.49756	 0.46552	 0.43810	 0.41392	 0.39435	 0.37862	 0.36606
42 	 0.26955	 0.27058	 0.27738	 0.29440	 0.32315	 0.35758	 0.38618	 0.40664	 0.42285	 0.43487	 0.43903	 0.43216	 0.41977	 0.40826	 0.39934	 0.39281	 0.38913	 0.38610	 0.38306	 0.38187	 0.38352	 0.39065	 0.40561	 0.42589	 0.44858	 0.47190	 0.49436	 0.51754	 0.55065	 0.59927	 0.65351	 0.70123	 0.73508	 0.75382	 0.76179	 0.76439	 0.76427	 0.76072	 0.75342	 0.74521	 0.73613	 0.72586	 0.71776	 0.71176	 0.70652	 0.70146	 0.69613	 0.69178	 0.68621	 0.67874	 0.66876	 0.65859	 0.64880	 0.64041	 0.63332	 0.62736	 0.62400	 0.62310	 0.62445	 0.62489	 0.61912	 0.60098	 0.57176	 0.53660	 0.50136	 0.46994	 0.44250	 0.41791	 0.39871	 0.38311	 0.37014
51 	 0.23741	 0.23842	 0.24433	 0.25870	 0.28277	 0.31099	 0.33391	 0.34985	 0.36226	 0.37130	 0.37407	 0.36776	 0.35711	 0.34761	 0.34004	 0.33413	 0.33092	 0.32831	 0.32590	 0.32557	 0.32765	 0.33458	 0.34843	 0.36687	 0.38724	 0.40841	 0.42913	 0.45185	 0.48752	 0.54158	 0.60291	 0.65709	 0.69522	 0.71622	 0.72524	 0.72806	 0.72736	 0.72207	 0.71206	 0.70099	 0.68878	 0.67536	 0.66441	 0.65590	 0.64827	 0.64112	 0.63382	 0.62783	 0.62045	 0.61139	 0.60003	 0.58865	 0.57807	 0.56887	 0.56149	 0.55565	 0.55285	 0.55305	 0.55601	 0.55921	 0.55737	 0.54492	 0.52198	 0.49260	 0.46224	 0.43478	 0.41021	 0.38811	 0.36995	 0.35448	 0.34227
52 	 0.25115	 0.25196	 0.25748	 0.27089	 0.29292	 0.31841	 0.33882	 0.35261	 0.36320	 0.37085	 0.37321	 0.36746	 0.35775	 0.34917	 0.34223	 0.33666	 0.33352	 0.33100	 0.32871	 0.32838	 0.33025	 0.33647	 0.34903	 0.36545	 0.38352	 0.40228	 0.42067	 0.44100	 0.47364	 0.52310	 0.57856	 0.62667	 0.65984	 0.67760	 0.68461	 0.68630	 0.68505	 0.67975	 0.67027	 0.65971	 0.64817	 0.63543	 0.62510	 0.61708	 0.60996	 0.60340	 0.59659	 0.59091	 0.58418	 0.57599	 0.56557	 0.55540	 0.54599	 0.53800	 0.53165	 0.52663	 0.52458	 0.52503	 0.52782	 0.53092	 0.53140	 0.52352	 0.50591	 0.48165	 0.45564	 0.43202	 0.41100	 0.39190	 0.37562	 0.36266	 0.35194
61 	 0.21802	 0.21910	 0.22511	 0.23935	 0.26249	 0.28884	 0.30972	 0.32395	 0.33491	 0.34293	 0.34557	 0.33992	 0.33036	 0.32198	 0.31515	 0.30980	 0.30688	 0.30446	 0.30228	 0.30224	 0.30428	 0.31070	 0.32361	 0.34033	 0.35847	 0.37735	 0.39575	 0.41596	 0.44852	 0.49768	 0.55255	 0.60009	 0.63276	 0.65024	 0.65709	 0.65877	 0.65757	 0.65230	 0.64274	 0.63230	 0.62088	 0.60838	 0.59816	 0.59041	 0.58341	 0.57681	 0.57012	 0.56458	 0.55806	 0.55001	 0.53980	 0.52990	 0.52074	 0.51300	 0.50684	 0.50187	 0.49979	 0.50002	 0.50233	 0.50419	 0.50305	 0.49275	 0.47352	 0.44729	 0.42055	 0.39598	 0.37377	 0.35417	 0.33830	 0.32466	 0.31352
