1 	 0.32079	 0.32130	 0.32692	 0.34105	 0.36468	 0.39274	 0.41909	 0.43810	 0.45262	 0.46350	 0.46739	 0.46115	 0.44506	 0.42668	 0.41213	 0.40131	 0.39537	 0.39293	 0.39006	 0.38717	 0.38659	 0.39041	 0.39953	 0.41365	 0.43142	 0.45248	 0.47465	 0.49679	 0.52530	 0.56204	 0.60305	 0.64407	 0.67836	 0.70135	 0.71581	 0.72488	 0.73087	 0.73346	 0.73289	 0.72956	 0.72391	 0.71639	 0.70970	 0.70451	 0.69926	 0.69371	 0.68911	 0.68619	 0.68147	 0.67340	 0.66411	 0.65499	 0.64567	 0.63776	 0.63154	 0.62744	 0.62714	 0.63079	 0.63824	 0.64505	 0.64686	 0.63731	 0.61624	 0.58972	 0.56119	 0.53496	 0.51241	 0.49191	 0.47431	 0.45955	 0.44829
6 	 0.31629	 0.31691	 0.32275	 0.33707	 0.36089	 0.38914	 0.41558	 0.43469	 0.44936	 0.46039	 0.46425	 0.45805	 0.44191	 0.42352	 0.40900	 0.39795	 0.39198	 0.38958	 0.38672	 0.38385	 0.38331	 0.38728	 0.39647	 0.41055	 0.42852	 0.44979	 0.47199	 0.49424	 0.52300	 0.55990	 0.60096	 0.64214	 0.67661	 0.69964	 0.71396	 0.72282	 0.72871	 0.73124	 0.73077	 0.72738	 0.72154	 0.71387	 0.70706	 0.70188	 0.69669	 0.69120	 0.68648	 0.68354	 0.67883	 0.67073	 0.66127	 0.65219	 0.64301	 0.63500	 0.62868	 0.62454	 0.62443	 0.62823	 0.63574	 0.64251	 0.64412	 0.63418	 0.61290	 0.58544	 0.55698	 0.53078	 0.50782	 0.48696	 0.46999	 0.45553	 0.44414
11 	 0.31357	 0.31424	 0.32017	 0.33465	 0.35868	 0.38695	 0.41333	 0.43251	 0.44735	 0.45831	 0.46219	 0.45598	 0.43978	 0.42136	 0.40676	 0.39568	 0.38967	 0.38728	 0.38438	 0.38146	 0.38091	 0.38493	 0.39420	 0.40831	 0.42648	 0.44777	 0.47018	 0.49253	 0.52136	 0.55840	 0.59961	 0.64076	 0.67522	 0.69828	 0.71238	 0.72109	 0.72691	 0.72936	 0.72880	 0.72535	 0.71939	 0.71164	 0.70488	 0.69974	 0.69455	 0.68904	 0.68434	 0.68135	 0.67658	 0.66844	 0.65894	 0.64992	 0.64089	 0.63294	 0.62652	 0.62234	 0.62230	 0.62622	 0.63376	 0.64050	 0.64212	 0.63237	 0.61095	 0.58357	 0.55478	 0.52877	 0.50576	 0.48459	 0.46728	 0.45210	 0.44178
16 	 0.31323	 0.31404	 0.32008	 0.33450	 0.35855	 0.38683	 0.41307	 0.43223	 0.44697	 0.45797	 0.46188	 0.45577	 0.43955	 0.42112	 0.40652	 0.39567	 0.38975	 0.38712	 0.38423	 0.38126	 0.38077	 0.38495	 0.39417	 0.40823	 0.42633	 0.44773	 0.47021	 0.49259	 0.52120	 0.55818	 0.59938	 0.64048	 0.67464	 0.69749	 0.71141	 0.71991	 0.72548	 0.72792	 0.72717	 0.72373	 0.71785	 0.71022	 0.70338	 0.69819	 0.69299	 0.68746	 0.68268	 0.67952	 0.67475	 0.66679	 0.65733	 0.64850	 0.63953	 0.63147	 0.62514	 0.62099	 0.62101	 0.62479	 0.63218	 0.63893	 0.64057	 0.63100	 0.60960	 0.58264	 0.55411	 0.52758	 0.50502	 0.48396	 0.46616	 0.45152	 0.43989
21 	 0.31141	 0.31220	 0.31826	 0.33280	 0.35681	 0.38503	 0.41117	 0.43023	 0.44503	 0.45603	 0.45981	 0.45372	 0.43762	 0.41923	 0.40463	 0.39384	 0.38798	 0.38529	 0.38242	 0.37944	 0.37905	 0.38322	 0.39235	 0.40648	 0.42467	 0.44607	 0.46835	 0.49061	 0.51913	 0.55607	 0.59721	 0.63818	 0.67210	 0.69494	 0.70900	 0.71750	 0.72308	 0.72536	 0.72443	 0.72102	 0.71536	 0.70765	 0.70072	 0.69563	 0.69035	 0.68481	 0.68020	 0.67707	 0.67227	 0.66428	 0.65486	 0.64618	 0.63707	 0.62892	 0.62284	 0.61869	 0.61858	 0.62232	 0.62987	 0.63685	 0.63837	 0.62845	 0.60747	 0.58020	 0.55173	 0.52549	 0.50256	 0.48172	 0.46434	 0.45012	 0.43950
26 	 0.31138	 0.31219	 0.31814	 0.33276	 0.35685	 0.38525	 0.41139	 0.43049	 0.44528	 0.45631	 0.46008	 0.45397	 0.43789	 0.41939	 0.40472	 0.39393	 0.38819	 0.38556	 0.38259	 0.37969	 0.37928	 0.38343	 0.39264	 0.40679	 0.42508	 0.44644	 0.46877	 0.49105	 0.51962	 0.55648	 0.59754	 0.63857	 0.67248	 0.69535	 0.70943	 0.71794	 0.72353	 0.72568	 0.72469	 0.72131	 0.71556	 0.70787	 0.70108	 0.69608	 0.69076	 0.68510	 0.68049	 0.67738	 0.67258	 0.66454	 0.65514	 0.64638	 0.63730	 0.62916	 0.62312	 0.61893	 0.61873	 0.62248	 0.63009	 0.63701	 0.63847	 0.62828	 0.60735	 0.58000	 0.55136	 0.52525	 0.50223	 0.48125	 0.46390	 0.44940	 0.43853
31 	 0.31098	 0.31178	 0.31768	 0.33228	 0.35633	 0.38472	 0.41084	 0.42989	 0.44470	 0.45579	 0.45964	 0.45352	 0.43740	 0.41881	 0.40399	 0.39319	 0.38756	 0.38494	 0.38196	 0.37906	 0.37862	 0.38288	 0.39205	 0.40613	 0.42451	 0.44583	 0.46798	 0.49031	 0.51905	 0.55603	 0.59724	 0.63834	 0.67246	 0.69554	 0.70968	 0.71824	 0.72392	 0.72591	 0.72488	 0.72152	 0.71570	 0.70790	 0.70117	 0.69631	 0.69100	 0.68526	 0.68057	 0.67756	 0.67281	 0.66470	 0.65519	 0.64645	 0.63725	 0.62897	 0.62293	 0.61873	 0.61856	 0.62245	 0.63030	 0.63733	 0.63886	 0.62885	 0.60754	 0.58055	 0.55189	 0.52550	 0.50258	 0.48147	 0.46421	 0.44975	 0.43889
36 	 0.31169	 0.31253	 0.31841	 0.33300	 0.35704	 0.38539	 0.41149	 0.43053	 0.44527	 0.45633	 0.46024	 0.45404	 0.43787	 0.41923	 0.40449	 0.39377	 0.38815	 0.38563	 0.38266	 0.37968	 0.37927	 0.38349	 0.39261	 0.40669	 0.42502	 0.44637	 0.46862	 0.49090	 0.51962	 0.55651	 0.59762	 0.63865	 0.67266	 0.69564	 0.70970	 0.71824	 0.72399	 0.72597	 0.72485	 0.72148	 0.71567	 0.70791	 0.70120	 0.69638	 0.69113	 0.68533	 0.68068	 0.67769	 0.67301	 0.66491	 0.65541	 0.64665	 0.63751	 0.62926	 0.62312	 0.61888	 0.61877	 0.62283	 0.63067	 0.63763	 0.63915	 0.62910	 0.60803	 0.58101	 0.55236	 0.52587	 0.50305	 0.48216	 0.46522	 0.45013	 0.43848
41 	 0.31079	 0.31165	 0.31764	 0.33223	 0.35626	 0.38465	 0.41085	 0.42977	 0.44446	 0.45555	 0.45944	 0.45322	 0.43706	 0.41840	 0.40373	 0.39298	 0.38736	 0.38489	 0.38189	 0.37897	 0.37850	 0.38268	 0.39181	 0.40590	 0.42429	 0.44555	 0.46776	 0.49008	 0.51884	 0.55571	 0.59670	 0.63768	 0.67153	 0.69445	 0.70840	 0.71679	 0.72256	 0.72439	 0.72316	 0.71985	 0.71401	 0.70621	 0.69963	 0.69485	 0.68958	 0.68378	 0.67920	 0.67632	 0.67166	 0.66349	 0.65395	 0.64523	 0.63615	 0.62781	 0.62163	 0.61735	 0.61729	 0.62141	 0.62924	 0.63618	 0.63764	 0.62751	 0.60655	 0.57953	 0.55106	 0.52495	 0.50188	 0.48097	 0.46355	 0.44862	 0.43736
46 	 0.31020	 0.31105	 0.31703	 0.33172	 0.35582	 0.38427	 0.41046	 0.42940	 0.44405	 0.45507	 0.45899	 0.45284	 0.43669	 0.41792	 0.40322	 0.39255	 0.38704	 0.38464	 0.38167	 0.37871	 0.37819	 0.38235	 0.39149	 0.40551	 0.42387	 0.44515	 0.46728	 0.48948	 0.51818	 0.55493	 0.59573	 0.63637	 0.67002	 0.69278	 0.70668	 0.71500	 0.72070	 0.72252	 0.72129	 0.71796	 0.71216	 0.70444	 0.69796	 0.69325	 0.68806	 0.68235	 0.67777	 0.67493	 0.67044	 0.66223	 0.65277	 0.64411	 0.63508	 0.62686	 0.62057	 0.61629	 0.61629	 0.62051	 0.62837	 0.63521	 0.63639	 0.62625	 0.60517	 0.57830	 0.54966	 0.52332	 0.50049	 0.47986	 0.46306	 0.44765	 0.43661
