,SoybeanGrain,BarleyGrain,RapeseedGrain,CornGrain,WheatGrain
SoybeanGrain,0.0,7.178809646467455e-16,4.819467279854843e-16,5.543945426237899e-16,4.889902580283376e-16
BarleyGrain,7.178809646467455e-16,0.0,2.9012659764723637e-16,1.9013488884923829e-16,2.88210575641126e-16
RapeseedGrain,4.819467279854843e-16,2.9012659764723637e-16,0.0,1.3290226869791185e-16,1.9817861002880033e-16
CornGrain,5.543945426237899e-16,1.9013488884923829e-16,1.3290226869791185e-16,0.0,1.817696781843421e-16
WheatGrain,4.889902580283376e-16,2.88210575641126e-16,1.9817861002880033e-16,1.817696781843421e-16,0.0
