,Mahalanobis_Distance
0,5.038828782466706
1,5.9603005094298265
2,5.724903690100826
3,6.160378365498169
4,6.245589045340505
5,6.146986784404805
6,5.63486843433753
7,6.822717379392036
8,5.181580928055157
9,6.921393366960025
10,6.039346797211254
11,6.038594332605381
12,6.522010492827365
13,6.2792718032798485
14,5.5552648032612035
15,6.577242295586719
16,7.095940581963541
17,5.092599560908718
18,5.82487731204065
19,6.079927637281876
20,6.708234790858336
21,5.880446074338189
22,6.202667280780064
23,6.756584870949845
24,6.389797564936894
25,7.0307432319977945
26,7.615782262684852
27,11.471542241734218
28,7.100606131476045
29,5.894639238030236
30,5.461085883342781
31,5.7034326331174805
32,6.339011974982886
33,6.049061255960459
34,7.012883569622521
35,7.487274468445578
36,5.776044000096447
37,6.755748125732974
38,6.301161967036822
39,7.089837639724056
40,7.702703452826727
41,6.829896934112006
42,5.639544002275459
43,5.993891814738506
44,5.744304194269381
45,6.147231276313729
46,6.434810614603741
47,9.009195531036715
48,6.166419272292336
49,9.451558555781332
50,7.378665479644886
51,7.680969773970213
52,8.176165149335421
53,10.198130491379274
54,8.03046360119084
55,8.749756000434864
56,9.302603619699852
57,6.614281424637931
58,8.05078662175054
59,9.06963873445955
60,8.756577022700817
61,8.310220570026692
62,6.724701155459236
63,7.567617825755523
64,7.615680315049109
65,7.394905169570516
66,7.2204236083877085
67,9.653908179338107
68,7.654148586870049
69,9.746182528925774
70,7.65833802142959
71,7.046499121808234
72,8.618777508644213
73,7.058169707717159
74,7.095696922837095
75,7.7174619098154285
76,8.384744098763969
77,9.069293522970916
78,10.2032984819749
79,12.414053292017437
80,9.549023289643838
81,8.72511400086962
82,10.511902554231709
83,9.353190187660598
84,7.265265801142958
85,9.184550604335765
86,9.720313402402251
87,5.181580928055157
88,6.039346797211254
89,6.038594332605381
90,6.577242295586719
91,6.790147952202186
92,12.182537412821606
93,11.727843081770892
94,8.658263377668144
95,8.465391700708942
96,6.943122884118991
97,7.295022403488344
98,7.5363306990895556
99,6.054349962967313
100,5.41646073524225
101,6.315373903404643
102,6.034355596186502
103,5.521065211494393
104,5.772275276894706
105,6.5535257325776755
106,6.723066254754637
107,6.297108777348552
108,5.997708466492384
109,5.984732131383084
110,6.333272870797594
111,5.009158795554648
112,5.3814180911698895
113,6.888613441284916
114,6.205645028352257
115,6.520744820131922
116,6.724670032387835
117,5.882889639787344
118,6.211223081976913
119,5.348351668812697
120,6.339564944213919
121,6.451959134613637
122,7.090007869324864
123,7.55554269433759
124,6.692135795254443
125,5.670893099561129
126,5.514108109326727
127,5.756041384972825
128,6.273870922544852
129,6.277559194488977
130,5.859951118648477
131,10.059337764033746
132,5.78839880000927
133,6.239307171707311
134,5.483517697229137
135,5.74400567726128
136,6.329648785897939
137,5.337155731067411
138,7.058303132651294
139,6.662994658295795
140,6.747505440113131
141,6.328263058436831
142,7.0983139940989535
143,5.139183907317883
144,6.503358461274538
145,6.837309947676306
146,6.816480423808723
147,6.389269274487335
148,5.4870229056493685
149,6.4591688867343535
150,7.547018115732408
151,7.244342356100711
152,6.328203404009946
153,5.763927821880523
154,6.384358073330479
155,7.3559139928103505
156,8.457526909328498
157,8.365006170161026
158,8.559816218222009
159,9.011610018719866
160,6.269848974956892
161,5.774466816271507
162,6.423536584070887
163,6.61093454376961
164,6.653845126997187
165,6.190857130819184
166,6.889041868301913
167,6.46201086250601
168,6.366753389173091
169,6.60148092706737
170,5.867132452131291
171,5.795708907464813
172,7.279560646230098
173,6.699774838976418
174,5.909905712810933
175,6.672722487613105
176,6.688411605788138
177,6.901190654817619
178,6.135909963137297
179,7.398486663157441
180,6.67912764280783
181,8.174697758365989
182,7.165801838786246
183,7.199995997687411
184,7.541486378987716
185,6.359770780671373
186,8.020850656887989
187,7.454348555265976
188,7.557099610043031
189,7.641125559644962
0,8.297936358375479
1,6.631253916986225
2,7.496413098369778
3,6.3142288075233255
4,5.74021348120282
5,6.034036289744608
6,6.861305242211245
7,8.24594934513602
8,7.198542457861621
9,7.173300473715414
10,5.8654947599311145
11,6.2329403132976005
12,6.940675424252177
13,6.571792014203753
14,7.038519639861637
15,6.024629359610576
16,6.8801358224049585
17,7.26493933492148
18,7.147563467802303
19,7.1238254775994205
20,7.156641193129821
21,6.886324865973052
22,10.892694875447356
23,7.238999244760214
24,7.727835103785976
25,8.334587488364154
26,7.621207823272522
27,9.639415754981375
28,8.885108716028071
29,9.503912028771802
30,9.077700050176464
31,9.493753347837297
32,9.74375542288013
33,6.2329403132976005
34,9.700571904865436
