,precision,recall,f1-score,support
08_CornGrain,0.9772727272727273,0.9555555555555556,0.9662921348314607,45.0
09_WheatGrain,0.9818181818181818,0.9642857142857143,0.972972972972973,56.0
25_BarleyGrain,0.9459459459459459,1.0,0.9722222222222222,35.0
accuracy,0.9705882352941176,0.9705882352941176,0.9705882352941176,0.9705882352941176
macro avg,0.9683456183456184,0.9732804232804234,0.970495776675552,136.0
weighted avg,0.9710823457146986,0.9705882352941176,0.970569193615294,136.0
