,precision,recall,f1-score,support
08_CornGrain,0.9565217391304348,0.9777777777777777,0.967032967032967,45.0
09_WheatGrain,0.8115942028985508,0.9655172413793104,0.8818897637795275,58.0
143_RapeseedGrain,1.0,1.0,1.0,18.0
25_BarleyGrain,0.9459459459459459,1.0,0.9722222222222222,35.0
59_SoybeanGrain,0.0,0.0,0.0,14.0
accuracy,0.9,0.9,0.9,0.9
macro avg,0.7428123775949863,0.7886590038314176,0.7642289906069434,170.0
weighted avg,0.8307297066887861,0.9,0.8629051034910229,170.0
