,precision,recall,f1-score,support
08_CornGrain,0.5555555555555556,1.0,0.7142857142857143,15.0
09_WheatGrain,1.0,0.5,0.6666666666666666,18.0
25_BarleyGrain,1.0,1.0,1.0,23.0
59_SoybeanGrain,0.0,0.0,0.0,3.0
accuracy,0.7966101694915254,0.7966101694915254,0.7966101694915254,0.7966101694915254
macro avg,0.6388888888888888,0.625,0.5952380952380952,59.0
weighted avg,0.8361581920903955,0.7966101694915254,0.774818401937046,59.0
