,precision,recall,f1-score,support
08_CornGrain,0.9565217391304348,0.9777777777777777,0.967032967032967,45.0
09_WheatGrain,0.8,0.9811320754716981,0.8813559322033898,53.0
143_RapeseedGrain,1.0,1.0,1.0,20.0
25_BarleyGrain,0.9722222222222222,1.0,0.9859154929577465,35.0
59_SoybeanGrain,0.0,0.0,0.0,14.0
accuracy,0.9041916167664671,0.9041916167664671,0.9041916167664671,0.9041916167664671
macro avg,0.7457487922705315,0.7917819706498952,0.7668608784388207,167.0
weighted avg,0.8351572217883074,0.9041916167664671,0.8666789830945169,167.0
