1 	 0.36987	 0.37049	 0.37584	 0.39170	 0.42154	 0.46034	 0.49767	 0.53001	 0.55620	 0.57536	 0.58229	 0.57356	 0.55650	 0.53861	 0.52466	 0.51618	 0.51105	 0.50686	 0.50138	 0.49626	 0.49512	 0.50165	 0.51601	 0.53843	 0.56818	 0.60111	 0.63225	 0.66021	 0.69335	 0.74114	 0.79784	 0.85382	 0.89757	 0.92314	 0.93538	 0.94152	 0.94515	 0.94584	 0.94349	 0.94011	 0.93597	 0.93089	 0.92581	 0.92291	 0.92083	 0.91807	 0.91596	 0.91365	 0.90843	 0.90071	 0.89127	 0.88287	 0.87291	 0.86279	 0.85365	 0.84608	 0.84210	 0.84202	 0.84611	 0.84903	 0.84261	 0.81924	 0.78145	 0.73639	 0.69150	 0.65134	 0.61616	 0.58474	 0.55889	 0.53621	 0.51942
6 	 0.37268	 0.37324	 0.37899	 0.39525	 0.42536	 0.46436	 0.50195	 0.53439	 0.56039	 0.57942	 0.58614	 0.57696	 0.55977	 0.54205	 0.52825	 0.51974	 0.51428	 0.51018	 0.50480	 0.49983	 0.49893	 0.50521	 0.51960	 0.54279	 0.57279	 0.60563	 0.63670	 0.66458	 0.69775	 0.74565	 0.80257	 0.85817	 0.90133	 0.92608	 0.93804	 0.94395	 0.94710	 0.94759	 0.94552	 0.94217	 0.93794	 0.93291	 0.92794	 0.92496	 0.92262	 0.92014	 0.91763	 0.91528	 0.91046	 0.90316	 0.89388	 0.88521	 0.87546	 0.86535	 0.85642	 0.84892	 0.84506	 0.84475	 0.84913	 0.85199	 0.84524	 0.82190	 0.78408	 0.73913	 0.69480	 0.65448	 0.61928	 0.58834	 0.56192	 0.53915	 0.52246
11 	 0.36808	 0.36859	 0.37423	 0.39039	 0.42026	 0.45913	 0.49654	 0.52864	 0.55440	 0.57328	 0.57994	 0.57083	 0.55384	 0.53624	 0.52248	 0.51403	 0.50858	 0.50444	 0.49908	 0.49426	 0.49337	 0.49943	 0.51374	 0.53689	 0.56676	 0.59925	 0.63008	 0.65771	 0.69075	 0.73828	 0.79502	 0.85019	 0.89294	 0.91733	 0.92916	 0.93497	 0.93801	 0.93848	 0.93639	 0.93310	 0.92894	 0.92378	 0.91888	 0.91587	 0.91350	 0.91105	 0.90844	 0.90591	 0.90101	 0.89403	 0.88499	 0.87619	 0.86645	 0.85641	 0.84770	 0.84046	 0.83672	 0.83651	 0.84129	 0.84454	 0.83819	 0.81568	 0.77849	 0.73439	 0.69011	 0.65103	 0.61627	 0.58470	 0.55900	 0.53646	 0.51949
16 	 0.34720	 0.34776	 0.35338	 0.36953	 0.39962	 0.43855	 0.47613	 0.50855	 0.53457	 0.55351	 0.56011	 0.55099	 0.53390	 0.51616	 0.50234	 0.49379	 0.48823	 0.48396	 0.47856	 0.47375	 0.47302	 0.47910	 0.49358	 0.51712	 0.54745	 0.58038	 0.61140	 0.63953	 0.67329	 0.72150	 0.77942	 0.83594	 0.87989	 0.90501	 0.91735	 0.92334	 0.92654	 0.92693	 0.92478	 0.92139	 0.91712	 0.91194	 0.90690	 0.90376	 0.90160	 0.89913	 0.89645	 0.89387	 0.88900	 0.88185	 0.87258	 0.86358	 0.85347	 0.84340	 0.83450	 0.82712	 0.82324	 0.82284	 0.82760	 0.83047	 0.82318	 0.79907	 0.76064	 0.71543	 0.67104	 0.63092	 0.59543	 0.56375	 0.53749	 0.51548	 0.49772
21 	 0.34818	 0.34871	 0.35434	 0.37039	 0.40051	 0.43949	 0.47718	 0.50965	 0.53567	 0.55466	 0.56121	 0.55200	 0.53490	 0.51704	 0.50313	 0.49456	 0.48891	 0.48466	 0.47917	 0.47441	 0.47366	 0.47976	 0.49429	 0.51811	 0.54871	 0.58185	 0.61311	 0.64143	 0.67540	 0.72389	 0.78203	 0.83868	 0.88245	 0.90739	 0.91949	 0.92538	 0.92851	 0.92882	 0.92667	 0.92337	 0.91907	 0.91381	 0.90876	 0.90573	 0.90350	 0.90113	 0.89847	 0.89591	 0.89107	 0.88396	 0.87464	 0.86556	 0.85548	 0.84520	 0.83647	 0.82916	 0.82528	 0.82502	 0.82981	 0.83271	 0.82530	 0.80118	 0.76327	 0.71801	 0.67369	 0.63380	 0.59804	 0.56622	 0.54047	 0.51726	 0.50091
26 	 0.37067	 0.37124	 0.37707	 0.39337	 0.42406	 0.46386	 0.50223	 0.53550	 0.56216	 0.58164	 0.58853	 0.57932	 0.56182	 0.54375	 0.52966	 0.52095	 0.51533	 0.51098	 0.50551	 0.50062	 0.49984	 0.50602	 0.52069	 0.54463	 0.57545	 0.60881	 0.64045	 0.66906	 0.70324	 0.75197	 0.81073	 0.86870	 0.91417	 0.94057	 0.95346	 0.95982	 0.96322	 0.96359	 0.96151	 0.95802	 0.95344	 0.94811	 0.94291	 0.93967	 0.93737	 0.93468	 0.93196	 0.92928	 0.92433	 0.91697	 0.90733	 0.89800	 0.88760	 0.87725	 0.86811	 0.86045	 0.85639	 0.85580	 0.86057	 0.86351	 0.85605	 0.83161	 0.79276	 0.74592	 0.69993	 0.65928	 0.62316	 0.59092	 0.56480	 0.54076	 0.52449
31 	 0.36746	 0.36808	 0.37365	 0.38979	 0.42013	 0.45974	 0.49816	 0.53159	 0.55827	 0.57769	 0.58439	 0.57496	 0.55722	 0.53896	 0.52474	 0.51590	 0.51009	 0.50570	 0.50009	 0.49524	 0.49442	 0.50070	 0.51559	 0.53994	 0.57131	 0.60531	 0.63747	 0.66660	 0.70153	 0.75128	 0.81126	 0.87009	 0.91596	 0.94226	 0.95501	 0.96110	 0.96436	 0.96478	 0.96270	 0.95920	 0.95471	 0.94921	 0.94381	 0.94038	 0.93795	 0.93525	 0.93248	 0.92983	 0.92457	 0.91719	 0.90742	 0.89796	 0.88756	 0.87691	 0.86762	 0.85978	 0.85567	 0.85549	 0.86049	 0.86367	 0.85654	 0.83175	 0.79311	 0.74660	 0.70064	 0.66022	 0.62322	 0.59176	 0.56539	 0.54123	 0.52429
36 	 0.37286	 0.37337	 0.37904	 0.39525	 0.42617	 0.46656	 0.50574	 0.53977	 0.56721	 0.58718	 0.59421	 0.58463	 0.56651	 0.54783	 0.53323	 0.52422	 0.51837	 0.51378	 0.50813	 0.50322	 0.50239	 0.50888	 0.52424	 0.54929	 0.58159	 0.61643	 0.64939	 0.67924	 0.71486	 0.76568	 0.82672	 0.88657	 0.93277	 0.95912	 0.97180	 0.97791	 0.98119	 0.98147	 0.97939	 0.97590	 0.97143	 0.96594	 0.96057	 0.95717	 0.95481	 0.95213	 0.94929	 0.94661	 0.94149	 0.93398	 0.92414	 0.91459	 0.90388	 0.89314	 0.88369	 0.87581	 0.87171	 0.87112	 0.87603	 0.87915	 0.87136	 0.84579	 0.80595	 0.75842	 0.71126	 0.67038	 0.63271	 0.60050	 0.57327	 0.54908	 0.53231
41 	 0.37146	 0.37201	 0.37766	 0.39372	 0.42423	 0.46405	 0.50260	 0.53595	 0.56282	 0.58242	 0.58921	 0.57974	 0.56204	 0.54373	 0.52940	 0.52063	 0.51473	 0.51040	 0.50482	 0.49989	 0.49910	 0.50546	 0.52051	 0.54500	 0.57655	 0.61061	 0.64281	 0.67190	 0.70681	 0.75661	 0.81644	 0.87510	 0.92066	 0.94662	 0.95914	 0.96528	 0.96849	 0.96881	 0.96676	 0.96326	 0.95880	 0.95340	 0.94803	 0.94475	 0.94248	 0.93983	 0.93699	 0.93444	 0.92935	 0.92206	 0.91240	 0.90297	 0.89253	 0.88187	 0.87272	 0.86496	 0.86095	 0.86060	 0.86554	 0.86885	 0.86165	 0.83694	 0.79768	 0.75126	 0.70553	 0.66428	 0.62728	 0.59564	 0.56943	 0.54504	 0.52818
46 	 0.37286	 0.37354	 0.37943	 0.39603	 0.42728	 0.46759	 0.50644	 0.53997	 0.56698	 0.58655	 0.59350	 0.58407	 0.56630	 0.54794	 0.53359	 0.52479	 0.51895	 0.51453	 0.50900	 0.50411	 0.50339	 0.50977	 0.52483	 0.54937	 0.58094	 0.61504	 0.64716	 0.67636	 0.71142	 0.76136	 0.82164	 0.88088	 0.92700	 0.95355	 0.96636	 0.97257	 0.97584	 0.97613	 0.97396	 0.97031	 0.96566	 0.96015	 0.95461	 0.95117	 0.94881	 0.94619	 0.94336	 0.94056	 0.93535	 0.92776	 0.91785	 0.90822	 0.89740	 0.88667	 0.87751	 0.86976	 0.86558	 0.86510	 0.87008	 0.87319	 0.86573	 0.84065	 0.80066	 0.75337	 0.70704	 0.66540	 0.62920	 0.59707	 0.56993	 0.54579	 0.52860
2 	 0.29326	 0.29252	 0.29452	 0.30204	 0.31842	 0.34070	 0.36060	 0.37666	 0.38892	 0.39866	 0.40224	 0.39690	 0.38666	 0.37603	 0.36743	 0.36158	 0.35752	 0.35413	 0.35009	 0.34690	 0.34625	 0.35058	 0.35930	 0.37238	 0.38870	 0.40671	 0.42387	 0.44024	 0.46317	 0.49832	 0.53898	 0.57778	 0.60885	 0.62796	 0.63773	 0.64223	 0.64402	 0.64277	 0.63801	 0.63192	 0.62521	 0.61803	 0.61201	 0.60801	 0.60514	 0.60205	 0.59919	 0.59635	 0.59129	 0.58444	 0.57629	 0.56915	 0.56108	 0.55290	 0.54607	 0.54081	 0.53773	 0.53747	 0.54110	 0.54600	 0.54915	 0.54514	 0.53191	 0.51421	 0.49430	 0.47641	 0.45866	 0.44291	 0.42891	 0.41703	 0.40685
