1	0.270456844	0.275232145	0.286818994	0.299937541	0.30926049	0.31278743	0.311819765	0.308111825	0.302650329	0.296965723	0.291053103	0.285009811	0.279049636	0.273827387	0.269839514	0.267587625	0.26737019	0.27071282	0.282267369	0.307903866	0.344587533	0.383330034	0.417136936	0.445276957	0.466239216	0.475635353	0.471571442	0.45635052	0.438513223	0.424923035	0.41581263	0.410396527	0.406697345	0.402327394	0.397902794	0.396539378	0.400899645	0.413571902	0.436005114	0.465683611	0.498782101	0.530745691	0.556998314	0.584956129	0.624186784	0.677524467	0.73611489	0.785272714	0.818514424	0.837481753	0.847308422	0.851563485	0.853039849	0.85247191	0.849798437	0.845334123	0.839950834	0.834156351	0.829255262	0.825444533	0.822702658	0.820433874	0.817344539	0.812591577	0.806047219	0.796828422	0.785682051	0.774264693	0.763966811	0.754464426	0.746680271	0.741273095	0.739330442	0.739231979	0.733671465	0.714927151	0.68101442	0.63867928	0.597871105	0.556714125	0.51701871	0.481511094	0.450914557	0.424159365	0.403234553	0.385731067
6	0.275286163	0.280071124	0.291466347	0.304545157	0.313727994	0.316999745	0.315829311	0.31211318	0.306754625	0.300808434	0.294789599	0.288771991	0.282822253	0.277611108	0.273532063	0.270945517	0.270735774	0.274295622	0.286049832	0.311822111	0.348580439	0.386956199	0.420519413	0.448555755	0.469219365	0.478489659	0.474389116	0.459075736	0.440877515	0.427064596	0.418398896	0.413502527	0.409848341	0.405396773	0.400746094	0.399313104	0.403979532	0.416766389	0.439179896	0.469015896	0.501926768	0.533328758	0.559506268	0.587712472	0.626764834	0.679311377	0.736445835	0.783915707	0.81653042	0.835069124	0.844354565	0.848535734	0.849436149	0.848147531	0.845508004	0.841091162	0.835736799	0.830515487	0.826245437	0.822333018	0.819216085	0.817046971	0.813959437	0.809496114	0.802794139	0.793516157	0.783058621	0.77206855	0.761639084	0.751981842	0.744049636	0.73914873	0.737842158	0.737984679	0.732597004	0.713922516	0.679905816	0.638829498	0.598877717	0.558472156	0.51952695	0.484377742	0.453819785	0.428133678	0.406920701	0.389356236
11	0.274562994	0.279256489	0.290434297	0.303466945	0.312516249	0.315655722	0.314493841	0.310546103	0.305078491	0.299255095	0.293227136	0.287160884	0.281156078	0.275907582	0.27174006	0.269172453	0.268876046	0.272297068	0.284009524	0.309642614	0.346298063	0.384554982	0.417946453	0.445775168	0.466307036	0.47568227	0.471811287	0.456477641	0.438263929	0.424450463	0.415649984	0.410790605	0.406965156	0.402581033	0.398085707	0.396639645	0.401255497	0.413945568	0.436278932	0.465948786	0.498906014	0.53009338	0.556061431	0.584358392	0.62355324	0.675859078	0.73277962	0.780308332	0.812617759	0.830942817	0.840169546	0.844307563	0.845198852	0.843811155	0.840969634	0.836498723	0.831207031	0.826024009	0.821844983	0.818013596	0.815086479	0.812960043	0.809725657	0.804979374	0.798165115	0.789078256	0.778723903	0.767847807	0.757328166	0.747608606	0.739721664	0.7350298	0.733763014	0.733810723	0.728814465	0.71069988	0.677473315	0.636881497	0.597490358	0.557279891	0.518790085	0.484202882	0.453690217	0.428473655	0.407153535	0.388806742
16	0.254640883	0.259282202	0.270245611	0.283068417	0.291899246	0.294943713	0.293820014	0.289922392	0.284473532	0.278665543	0.272643233	0.266713695	0.260826759	0.255688811	0.251590006	0.249061464	0.248787092	0.25223026	0.263866648	0.289469293	0.326288786	0.364658208	0.398177372	0.426262607	0.446866479	0.456176101	0.452235855	0.436835063	0.418616252	0.404839665	0.39603614	0.391106479	0.387123325	0.382779749	0.378326827	0.376906387	0.381660505	0.394525214	0.417051868	0.447014652	0.480308076	0.511697255	0.537808392	0.566395556	0.606151779	0.659112721	0.716739208	0.764902894	0.797542215	0.815985971	0.825225668	0.829436279	0.830383232	0.829043451	0.82615883	0.821735296	0.816494342	0.811379053	0.807145219	0.803286779	0.800484846	0.798425087	0.795047581	0.790233717	0.783451949	0.774234555	0.763760645	0.752842097	0.74242705	0.732632463	0.724710735	0.720109759	0.718867638	0.71901974	0.713903469	0.695238033	0.661359632	0.620496767	0.580613014	0.540024094	0.500922605	0.465904595	0.435226703	0.409455241	0.388073856	0.37067879
21	0.254421002	0.258936122	0.269854633	0.282320517	0.291065102	0.294006301	0.29265876	0.288653795	0.283101764	0.277241582	0.271287181	0.26532893	0.259431523	0.25412587	0.250123811	0.247558499	0.247222626	0.250625273	0.262139084	0.287638196	0.324239349	0.36258818	0.396197885	0.424250133	0.444820851	0.45412316	0.450097534	0.434702271	0.416339638	0.402379483	0.39352203	0.388605503	0.384596214	0.380114535	0.375636925	0.374222096	0.378978591	0.391892685	0.414525274	0.444703638	0.478269291	0.509850272	0.536077869	0.56485149	0.604921351	0.658086029	0.715815562	0.763801584	0.796174299	0.814414514	0.823621276	0.827664669	0.828496765	0.827078828	0.824179665	0.819799565	0.814570235	0.809457561	0.805176673	0.801498306	0.798797047	0.796613073	0.793191751	0.788376478	0.781529472	0.772379931	0.761971013	0.751160127	0.740788953	0.730987664	0.723124774	0.718639768	0.717471278	0.717875632	0.712956481	0.694328572	0.660494611	0.619516483	0.579448084	0.539255954	0.50048954	0.465087872	0.434439892	0.408728676	0.388215092	0.370069362
26	0.275833956	0.280739868	0.291936292	0.305206838	0.31470409	0.317966703	0.31686829	0.312970191	0.307407893	0.301487337	0.295323043	0.289262694	0.283158185	0.277742812	0.273558193	0.27099583	0.270704946	0.27418957	0.286073765	0.312278235	0.349837432	0.389159909	0.423623264	0.452375443	0.473526797	0.483144141	0.479170881	0.463446798	0.444742476	0.430586709	0.421554904	0.41654704	0.412584656	0.408151948	0.403464969	0.40196678	0.40670556	0.419805388	0.442734905	0.473180247	0.507074142	0.539134358	0.565725318	0.594672511	0.635033042	0.689055194	0.748163596	0.797828205	0.8316617	0.850821479	0.860470299	0.864869797	0.865900103	0.864538242	0.861614983	0.857129743	0.851739344	0.846378478	0.841954812	0.838127012	0.83522904	0.832960673	0.829501518	0.824572801	0.817461817	0.808043984	0.797299851	0.786121823	0.775367314	0.76518113	0.756968244	0.752180951	0.750774924	0.75080274	0.745228318	0.725422927	0.690198653	0.647775554	0.606545622	0.564744695	0.524798721	0.488822622	0.457914293	0.431605147	0.410058404	0.392007127
31	0.277763964	0.282417109	0.293206931	0.305953484	0.314873251	0.317863416	0.316434589	0.312396778	0.306708584	0.3006191	0.294478043	0.288424155	0.282436413	0.276951523	0.272706128	0.270217329	0.269837047	0.273161753	0.284761806	0.310611444	0.348073659	0.387361223	0.42174201	0.45051323	0.471714508	0.481319166	0.477249392	0.461440151	0.44257824	0.428202352	0.419040093	0.413902929	0.409844141	0.405243807	0.400535198	0.399019538	0.403857833	0.417183957	0.440494889	0.471377613	0.505726498	0.538196508	0.565073495	0.594455969	0.635500187	0.690169618	0.74953771	0.799023496	0.832491371	0.85129835	0.860798317	0.865089286	0.86601292	0.864506129	0.861453071	0.856846224	0.851373346	0.846026409	0.841613219	0.837653004	0.834714112	0.832435809	0.828966351	0.824069323	0.816972309	0.807480632	0.796640241	0.785359968	0.774555667	0.7643564	0.756167393	0.751394342	0.750168009	0.750391596	0.745091268	0.725725546	0.690687345	0.648603008	0.607789735	0.566407226	0.526875741	0.490931937	0.459823258	0.434160746	0.412660648	0.394928387
36	0.27795285	0.282391625	0.293158062	0.30582163	0.314776489	0.317607824	0.316234633	0.312136169	0.306362817	0.300315193	0.294095737	0.287962981	0.281869601	0.276402472	0.272231199	0.26960885	0.269279493	0.272634201	0.284215545	0.310149215	0.347772597	0.387286208	0.421995417	0.451046557	0.472386348	0.482091986	0.478004736	0.461987738	0.442981529	0.42850865	0.419249098	0.414067787	0.409902951	0.405222371	0.400542583	0.39901536	0.403955648	0.417437654	0.441044361	0.472320013	0.50709533	0.539875461	0.567065189	0.596842101	0.638290227	0.693345998	0.753017177	0.802487521	0.835843979	0.854534625	0.863974665	0.868231632	0.869116048	0.867610388	0.864571433	0.859942759	0.854489565	0.849090093	0.844612206	0.840674441	0.837793079	0.835553507	0.832068335	0.827141952	0.819955911	0.810405494	0.799537689	0.788261761	0.777501788	0.767284715	0.759077672	0.754305934	0.753003125	0.753216728	0.74793967	0.728220173	0.692863939	0.650685208	0.609497559	0.567841268	0.527963214	0.491866139	0.460844455	0.434679947	0.413513615	0.395059838
41	0.281867343	0.286250027	0.297167796	0.309928478	0.318748913	0.321624071	0.320194165	0.316060891	0.310271754	0.304173634	0.298026921	0.291882821	0.285749142	0.280357288	0.276175237	0.273576087	0.273182608	0.276460928	0.288044936	0.314091247	0.351865439	0.391556451	0.426319494	0.455452976	0.477010442	0.486841704	0.482739756	0.466605373	0.447414608	0.432842658	0.423559467	0.418339905	0.414191383	0.409556555	0.404804149	0.40329167	0.408236712	0.421728523	0.445434666	0.476916932	0.511880309	0.544920792	0.572353009	0.602408925	0.644314772	0.700116905	0.760778738	0.811280987	0.845290656	0.864329031	0.87390445	0.878271472	0.879180465	0.877662693	0.874695159	0.870045087	0.864552539	0.859154593	0.854658594	0.850705478	0.847729308	0.845447599	0.841885927	0.836816287	0.829562395	0.81985343	0.808883845	0.797355297	0.786318004	0.775923176	0.767557352	0.76265934	0.761416975	0.76170761	0.756253008	0.736406105	0.700712844	0.657550707	0.615894878	0.57376241	0.533650531	0.497199299	0.465380238	0.439187977	0.41792602	0.399513396
46	0.280469848	0.285101173	0.296149765	0.308928512	0.317790458	0.320763498	0.319245417	0.315067337	0.309323281	0.303366193	0.297070189	0.290819637	0.284798714	0.279389261	0.275210246	0.272553266	0.272153991	0.275572347	0.287244117	0.313349967	0.351062386	0.390704068	0.425396964	0.454378844	0.475791539	0.48551662	0.481410991	0.465361028	0.446259723	0.431687111	0.422351512	0.417186282	0.412992559	0.408391882	0.403680963	0.40213765	0.407092518	0.42053654	0.444110363	0.47543675	0.510230874	0.543037225	0.570246045	0.600175147	0.641841277	0.697214208	0.757323871	0.80739571	0.841128085	0.860083494	0.869579749	0.87386903	0.874710211	0.873182371	0.870122415	0.865482964	0.85994307	0.854538913	0.850111014	0.846151319	0.843137991	0.840872798	0.837318338	0.832242109	0.825043675	0.815376906	0.804367782	0.792937353	0.782097697	0.771820287	0.763582454	0.758769923	0.757446874	0.757689176	0.752416807	0.732740346	0.69738142	0.654734972	0.613281959	0.571424645	0.531162476	0.494507961	0.463201644	0.436827348	0.415254863	0.397746065
2	0.211081747	0.214061107	0.220518803	0.22680049	0.230706641	0.231327275	0.229148693	0.225591265	0.221144966	0.216652362	0.212586683	0.208304502	0.204004918	0.200370663	0.197283655	0.195077384	0.194106957	0.195320841	0.200662483	0.213844991	0.234071847	0.254733121	0.271266709	0.284414855	0.294431812	0.299137783	0.296821663	0.288072037	0.278099332	0.270531778	0.26530301	0.261576095	0.258452903	0.255505663	0.253000298	0.252525693	0.255602557	0.263447416	0.276387851	0.292907623	0.31046179	0.327355666	0.341858449	0.358956705	0.385252648	0.421794286	0.462319779	0.49761397	0.523256293	0.538797871	0.546608007	0.549013066	0.548914532	0.545947608	0.540751975	0.534402827	0.52755333	0.520591705	0.515003716	0.510955917	0.50800789	0.505105957	0.501499406	0.49712137	0.491221256	0.48327806	0.474327426	0.465274218	0.457364162	0.450408992	0.444871218	0.441055317	0.439363701	0.440386127	0.441235383	0.437823542	0.426926634	0.410576533	0.392723988	0.373856268	0.354940578	0.336997756	0.321293527	0.30737513	0.295327664	0.284297048
